seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-05-DPM,0.31779013766501096,0.674017062343604,0.2141959750307402,0.31779013766501096,0.31515697196981657,0.3132393329885002,0.3099089945243736,0.3046639075654925,0.2997146004713205,0.2945176709998256,0.28685133793831286,0.27740949785620705,0.2686264620972124,0.25423861340625603,0.23560434224625135,0.1994987182193866,0.17414893365065173,0.14617417254307363,0.11405962627188707,0.07572443067345949,0.0330259528017777,0.005374636184122726,0.222406754740681,0.6573495157533407,0.6444471475489599,0.6337160120845922,0.6200119832234872,0.6023468057366362,0.582835733520665,0.5616264294790343,0.5352032704973881,0.5062952646239555,0.47539015606242496,0.4355952001699055,0.390700545211398,0.32656265332155826,0.27393516773464005,0.21475424566448018,0.15222023352936162,0.09385872643417752,0.0375287797390637,0.004980672019030627,0.4078609759133737,0.15363299002572267,0.15412267299024376,0.15483099347343465,0.1549060138931036,0.15409743305529977,0.15412377204991376,0.15444547118557492,0.15374287604881462,0.1519983197117024,0.151791481625441,0.1483883948251122,0.14207660256848126,0.12187474031817223,0.11071178389566094,0.09949460441417615,0.08546563123471454,0.06109383345235266,0.029063389911660915,0.005799762361646819,0.12324530352848573,0.7751915570333959,0.7659389908920052,0.7581321382102068,0.7480121439930606,0.7347115801648113,0.7196761601850513,0.7029058840537805,0.6813647535058551,0.6569321960387451,0.6297527829984098,0.593031661124765,0.5490819719531589,0.4811334393523204,0.42026890270348416,0.34552551684256183,0.2582044238831864,0.1677027613127078,0.0706953881740639,0.009686280179268468,0.529892028031623,0.8121781278400485,0.802484095728567,0.7943047561345047,0.7837019085125719,0.7697667373523175,0.7540139351711602,0.7364435019691002,0.7138745834595577,0.6882762799151773,0.6598000605877007,0.621326870645259,0.5752802181157225,0.5040896697970312,0.4403211148136928,0.3620115116631324,0.270524083611027,0.17570433202059982,0.07406846410178734,0.010148439866707059,0.5551746679634559,0.5091860868781884,0.5115484705385241,0.5128349031483954,0.5131069596776799,0.5100059539149879,0.507301944150571,0.5031022772117375,0.4988154694350415,0.49307064134982587,0.4912782432486381,0.4831047920383453,0.466539879374319,0.43066943544974745,0.4071075366411975,0.37833357196827344,0.331960727319373,0.25725417884431934,0.14399275388541485,0.03615177734224942,0.4202824001272015,0.18231611509484852,0.182932543631366,0.18375002955447542,0.18396647696026983,0.1834242542609053,0.18372660520178072,0.18447020983006196,0.184223265649346,0.18243541506221989,0.18236153100485897,0.17873353616510698,0.17242804156540978,0.15105479483661158,0.1379767934692178,0.12433897108795898,0.10877661790858817,0.08012412794178893,0.03956309042942019,0.007748325422067851,0.14917635500401594,0.674017062343604,0.6812945175843458,0.687041352369762,0.693940319217574,0.7024305735257731,0.7113433774316014,0.7205939954638433,0.7315080899629385,0.7429230058538265,0.754446300954364,0.7685722614560444,0.7839724042426693,0.806608396348152,0.8256991785889983,0.8475449943640765,0.8719452216082315,0.8965349363320139,0.9268511180752497,0.961103790418756,0.7783353103232539,0.3451014296547265,0.3435819620173996,0.34261108000650764,0.3403991474278384,0.3364775899512485,0.33304534895734256,0.32948540250183955,0.3236587351552277,0.3159946043248333,0.30917811693112024,0.2966462814106622,0.2793057484311895,0.24215287109479647,0.2157051690019845,0.1854128491050565,0.14855168822592466,0.10122057384315811,0.04532822113715738,0.007495206682146055,0.254808001361061,5362.0,5298.0,5244.0,5174.0,5082.0,4978.0,4862.0,4713.0,4544.0,4356.0,4102.0,3798.0,3328.0,2907.0,2390.0,1786.0,1160.0,489.0,67.0,3665.2631578947367,1555.0,1619.0,1673.0,1743.0,1835.0,1939.0,2055.0,2204.0,2373.0,2561.0,2815.0,3119.0,3589.0,4010.0,4527.0,5131.0,5757.0,6428.0,6850.0,3251.7368421052633,1240.0,1304.0,1358.0,1428.0,1520.0,1624.0,1740.0,1889.0,2058.0,2246.0,2500.0,2804.0,3274.0,3695.0,4212.0,4816.0,5442.0,6113.0,6535.0,2936.7368421052633,0.3073586815093248,0.7518514695131114,0.33453809454966027,0.6444990602862513,0.6752499242653741,0.2556390977443609,0.5864661654135338,0.15789473684210525,0.14742718679911096,0.6595162364080184,2.5615292712066906,0.33420931648846847,3351.7538510894506,4458,2459,2144,188,34,78,21,209.0,837,0.25771136918411125,0.2518432846609802,0.26385943653438354,1742,5175,4860,6602,6917,18,133
MOT17-09-DPM,0.43321771602315673,0.765269737378867,0.33152840776891374,0.43321771602315673,0.4297512480679106,0.4262766535175488,0.42295525609033696,0.4189797874582176,0.414926869839907,0.4092963276655423,0.402234823887891,0.3915331736873116,0.3840730522459397,0.3737059247466221,0.3638706006665717,0.3482711757814604,0.32512366836391554,0.29110131124487965,0.24923274824382133,0.18540976704805975,0.0978453888751444,0.020498944546733087,0.3362265493684721,0.7201300924340979,0.7101769911504425,0.7006261634794382,0.6917508417508418,0.6826858673811118,0.6723248460642369,0.6577037281425272,0.6379788101059495,0.6114496472097498,0.5895286301803226,0.5642901618929016,0.5414940941862249,0.5090854482655053,0.46252365012370833,0.39666435024322444,0.32572559366754616,0.23134419801494915,0.11063218390804598,0.016385152220086983,0.5175000237063637,0.2606162295509067,0.260056489462925,0.25935626558920705,0.258606333172886,0.25713739024940896,0.2560730996674988,0.25470964611013414,0.2536022372298755,0.25071275582087554,0.2502204335969093,0.2474899043468239,0.24451201859999872,0.23825629330686068,0.22854052912134756,0.21363143261179865,0.19070335277542877,0.14859582393587584,0.08653648319991233,0.025645579722774613,0.22026327884586575,0.7900469483568076,0.783661971830986,0.7774647887323943,0.771643192488263,0.7656338028169014,0.7586854460093897,0.7487323943661972,0.7350234741784037,0.716056338028169,0.699906103286385,0.6807511737089202,0.6629107981220658,0.6366197183098592,0.5968075117370892,0.535962441314554,0.4636619718309859,0.35455399061032866,0.187981220657277,0.030422535211267605,0.6156066221892761,0.890558848433531,0.8833615580016935,0.8763759525825572,0.869813717188823,0.8630397967823878,0.8552074513124471,0.8439881456392887,0.8285351397121083,0.8071549534292972,0.7889500423370025,0.7673581710414903,0.7472480948348857,0.7176121930567316,0.6727349703640982,0.6041490262489416,0.5226502963590178,0.39966130397967825,0.21189669771380187,0.03429297205757832,0.6939257542671243,0.4626706947687301,0.4627838691612752,0.46201072317210723,0.46129334998683397,0.4594515623307654,0.4574780204966055,0.4560486183130263,0.45518749047129164,0.45330227576590526,0.4525001522396898,0.44945161776877074,0.4455755606228994,0.43630191081188496,0.42267102452886063,0.401009884119223,0.3701908830520181,0.3089262117518908,0.20143111393270952,0.0688457680129243,0.404585827963548,0.3737549557314654,0.37268840803282516,0.37243926125805743,0.3719442979031587,0.3705722774100701,0.36971047962672937,0.36831604245059113,0.3661113273462287,0.3611868843412073,0.36015136894931393,0.35702607640177075,0.35316690963361574,0.3459529255107245,0.3360807076371159,0.3202662205660139,0.291633034619331,0.23447658050118428,0.13921369596568176,0.03977635909580954,0.32128777963057337,0.765269737378867,0.7708969960487031,0.7760174789423605,0.780569840392572,0.7849463298860069,0.7896457873441812,0.7957977702441323,0.8036078064896403,0.813584428696918,0.8213834375255078,0.829626793260042,0.8364036170005995,0.8451272166613016,0.8563183661511824,0.8710403887574755,0.8858568370614088,0.9039669362597272,0.9291839513655582,0.9607919337443928,0.8326334554321356,0.4537610129230486,0.451438125682756,0.44904383330888265,0.4467122301070446,0.4437038178143936,0.44077084049678605,0.4367028316832941,0.4317448291156697,0.4237032662489713,0.4184863302922121,0.41046198711355575,0.40260359834527376,0.3894594386204613,0.36931653701938294,0.33837615779505686,0.29735818902904865,0.22953266077945111,0.12754306622983258,0.02793212401750861,0.36782373034855953,4207.0,4173.0,4140.0,4109.0,4077.0,4040.0,3987.0,3914.0,3813.0,3727.0,3625.0,3530.0,3390.0,3178.0,2854.0,2469.0,1888.0,1001.0,162.0,3278.1052631578946,1118.0,1152.0,1185.0,1216.0,1248.0,1285.0,1338.0,1411.0,1512.0,1598.0,1700.0,1795.0,1935.0,2147.0,2471.0,2856.0,3437.0,4324.0,5163.0,2046.8947368421052,517.0,551.0,584.0,615.0,647.0,684.0,737.0,810.0,911.0,997.0,1099.0,1194.0,1334.0,1546.0,1870.0,2255.0,2836.0,3723.0,4562.0,1445.8947368421052,0.5224413145539906,0.8193042158572065,0.5363380281690141,0.711737089201878,0.8022861981371718,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.39383342311714786,0.7543039108368992,1.779047619047619,0.5359869987380786,3105.1629780988123,3790,1535,934,74,10,14,2,100.0,525,0.3954622350482635,0.3731455399061033,0.4206181202370872,1987,3338,2737,4724,5325,18,26
MOT17-11-DPM,0.4434357767612175,0.7481933143538968,0.33177568351807,0.4434357767612175,0.44069989057666425,0.4378464186836262,0.433150578290091,0.4235810470162291,0.4118576319425169,0.4021279771837929,0.38847031492894407,0.37509285083544824,0.36627260507227627,0.3608880808530954,0.35174745505768307,0.3406312380448205,0.32430315970495965,0.30482685526952663,0.2793989191659979,0.23023941999895498,0.1534507445937302,0.04953902942292852,0.3430294733369738,0.6716854131609247,0.6637285147642134,0.655266158028589,0.6414470823549874,0.6187821612349914,0.5926925997806093,0.5702995008319468,0.5477654776547766,0.5200934203108641,0.4954048486769133,0.4772638334507318,0.4571913842353123,0.4355795558259811,0.4010540380047506,0.35987031700288186,0.31368318485523383,0.2389235313423039,0.1413109203047527,0.03629076534533875,0.4651754056403211,0.29274908202407807,0.292614207818506,0.2925673545095749,0.2924940008834721,0.28995810582720927,0.2861967722426206,0.2835473462593475,0.27549962846709725,0.2705180285952656,0.27079997619063173,0.27288932823625556,0.27062249291179985,0.26637990415303675,0.2622403203265461,0.2582024893505313,0.2488617809308286,0.22187094851493674,0.166633484274168,0.06762368918959677,0.2569615231950265,0.8037303942348453,0.798007630351844,0.7918609580330649,0.7816871555743959,0.7646248410343366,0.7443832132259431,0.7264730818143281,0.7079270877490462,0.6844001695633743,0.6626748622297584,0.6462484103433659,0.6275964391691394,0.6069309029249682,0.5725943196269606,0.5293556591776176,0.47763883001271723,0.3857566765578635,0.2476685036032217,0.07005086901229335,0.6120847370652149,0.8034749443797012,0.7977539993643394,0.791609280644136,0.7814387117279373,0.7643818201080623,0.7441466257018752,0.726242186672317,0.7077020870854963,0.6841826464667867,0.662464244093654,0.6460430130310414,0.6273969700180104,0.6067380019069817,0.5724123318148109,0.5291874139209662,0.47748702193028925,0.38563407140586925,0.24758978705371332,0.07002860472507681,0.6118901980026875,0.5893789684574489,0.5893153854539548,0.5894651310508395,0.5889587606142473,0.5871304580567245,0.5848719015950722,0.5829949344511893,0.5758080587548107,0.5678627346625471,0.5663675554543234,0.5642810312912313,0.5566443279794027,0.5447046130212059,0.5331260576338258,0.519149418878632,0.4926767612086687,0.43756334028148247,0.3354495827143109,0.13722001048069227,0.5233141595810847,0.37238837817081416,0.3724617291248496,0.3727084751456749,0.3734253849653348,0.3720803342588313,0.3705456451688405,0.36966164496742204,0.36384006470659286,0.35857499949858346,0.35969105697724657,0.3634477496005202,0.36276958362733885,0.3602485635106356,0.3584544613826826,0.3526326710363664,0.34129646959379717,0.31396849244741926,0.25131387682567746,0.12113048256183494,0.34266526650370854,0.7481933143538968,0.7530299888152748,0.7578850438160402,0.765435084040094,0.7775203928327086,0.7912609627058176,0.8027863402456964,0.8139469874892895,0.8273209963549432,0.8389727744468377,0.8469553425058639,0.8550293423823644,0.862783461767357,0.8740289484005487,0.8861427907989434,0.8980054716621862,0.9147474153295873,0.9360620932648464,0.963506248072968,0.8375585789097507,0.4850683818876482,0.4832270383458773,0.4813238677139866,0.4781619010054818,0.47086003289167283,0.46156264248404605,0.45386067738602626,0.44162614240628506,0.4302819827050042,0.4236181498873115,0.419945585251648,0.4121185665685559,0.40208729866618403,0.3875013777990149,0.3697038665627563,0.34476956054542013,0.2925546098147538,0.20314986020269413,0.06882658057428453,0.39527621698413956,7584.0,7530.0,7472.0,7376.0,7215.0,7024.0,6855.0,6680.0,6458.0,6253.0,6098.0,5922.0,5727.0,5403.0,4995.0,4507.0,3640.0,2337.0,661.0,5775.631578947368,1852.0,1906.0,1964.0,2060.0,2221.0,2412.0,2581.0,2756.0,2978.0,3183.0,3338.0,3514.0,3709.0,4033.0,4441.0,4929.0,5796.0,7099.0,8775.0,3660.3684210526317,1855.0,1909.0,1967.0,2063.0,2224.0,2415.0,2584.0,2759.0,2981.0,3186.0,3341.0,3517.0,3712.0,4036.0,4444.0,4932.0,5799.0,7102.0,8778.0,3663.3684210526317,0.32566765578635015,0.8380925595444929,0.3330860534124629,0.6667019923696481,0.6664900942896493,0.30666666666666664,0.3466666666666667,0.3466666666666667,0.2177236426551934,0.6665960264900662,3.497777777777778,0.33289051525646307,5272.440292094405,6291,3145,3148,70,23,26,26,96.0,900,0.3312317880794702,0.33128444256040696,0.3311791503337218,3126,6310,6313,9439,9436,28,75
MOT17-13-DPM,0.1975400019932783,0.6068226705593801,0.11987175155186641,0.1975400019932783,0.1962631420727695,0.19413365420617057,0.19172528235716038,0.18886358571961118,0.18396450155099855,0.17797063889594536,0.17222941391565474,0.16431246373520364,0.15699035960441518,0.14766063255157108,0.13425740628088767,0.12238226329247379,0.10671627319207423,0.09237286345926603,0.07537840991752069,0.05001467350832325,0.021144132270708244,0.0029641887549961975,0.1356254677515278,0.5031608197290726,0.4933057280883368,0.48205479452054795,0.4702724740096487,0.45582991320729327,0.4361186699409305,0.4110205412455168,0.38563012295081966,0.35245952872054503,0.3181845872677429,0.2778598003897714,0.23048052317315895,0.18727023319615912,0.14299297448629233,0.10313535559520776,0.06880711286737466,0.03719681717956092,0.012114691987464335,0.0012030353507310753,0.282584090731904,0.07755383737651883,0.07808387120406278,0.07818172565408338,0.07816443854670237,0.07825167453336454,0.07760029589077476,0.07706074303014282,0.07692078303103131,0.07660052726263222,0.07745809820758144,0.07847001392408952,0.07820639632846198,0.07997757098374543,0.0796428146551853,0.08273347053898832,0.08257728663380516,0.06724950562487075,0.03690348297289072,0.007303538478654405,0.0720494776251361,0.6221439615186394,0.6139838515718948,0.6045353032125065,0.5944854835938842,0.5819446830441505,0.5644219206321938,0.5414018209929565,0.517265074729428,0.48436694725992097,0.4486342552825975,0.40414018209929564,0.3481360590963752,0.29316268682356983,0.23252018553513143,0.17376739391857068,0.11965298058752792,0.0666552138807765,0.02224703659165092,0.0022332932485827177,0.3808262280852449,0.7245898359343738,0.7150860344137655,0.7040816326530612,0.6923769507803121,0.6777711084433774,0.6573629451780713,0.6305522208883554,0.6024409763905563,0.5641256502601041,0.5225090036014406,0.470688275310124,0.4054621848739496,0.34143657462985194,0.27080832332933175,0.20238095238095238,0.13935574229691877,0.07763105242096839,0.025910364145658265,0.0026010404161664665,0.4435353088603864,0.24175575771605404,0.24272651954033225,0.24239259474293312,0.24185025096405424,0.24184493020093067,0.23959330723999084,0.2365020276983022,0.2343271950692768,0.2312110287126392,0.23036464695703526,0.22884385719885145,0.22747921695061976,0.22928775975465232,0.22812981392757156,0.22831996034325486,0.2283963611848586,0.18155059466144324,0.10105368681356376,0.01737185921230242,0.21331586152045612,0.09961808840701206,0.10029031446538547,0.10044780170520619,0.10057734482197626,0.10066968210968892,0.10016637894307182,0.09967450948688517,0.0996607553394549,0.09966797905570612,0.10105562245791656,0.10214992777069871,0.10153218620409389,0.10370944995562364,0.10296676810280832,0.10696405192417288,0.10823470383373195,0.09319588450666375,0.056926270328334236,0.013193861847273846,0.0942474516455634,0.6068226705593801,0.6138812148932126,0.6214855167131409,0.629045643263201,0.6377269097482441,0.6489169683529716,0.6626063161236974,0.6759748774863391,0.692915761918306,0.7102669402505937,0.730590183408954,0.7554553119168741,0.7796978651798173,0.8069332858677899,0.8344903150205417,0.8616542606792389,0.8902274337074817,0.9237442864265704,0.9615354158241404,0.739156377754763,0.21965803335275436,0.21895715559788,0.21740196232777728,0.21556350351875617,0.21339668679244495,0.2092828422214722,0.20425676635937817,0.1994703852274631,0.19262077652398124,0.18641447423675178,0.1780811211684602,0.16500444422475408,0.1531223027361383,0.13608292339659583,0.11990154113020753,0.09940130016536713,0.06695170035781199,0.028652977786911896,0.004038680870673366,0.15938208305239893,7243.0,7148.0,7038.0,6921.0,6775.0,6571.0,6303.0,6022.0,5639.0,5223.0,4705.0,4053.0,3413.0,2707.0,2023.0,1393.0,776.0,259.0,26.0,4433.578947368421,4399.0,4494.0,4604.0,4721.0,4867.0,5071.0,5339.0,5620.0,6003.0,6419.0,6937.0,7589.0,8229.0,8935.0,9619.0,10249.0,10866.0,11383.0,11616.0,7208.421052631579,2753.0,2848.0,2958.0,3075.0,3221.0,3425.0,3693.0,3974.0,4357.0,4773.0,5291.0,5943.0,6583.0,7289.0,7973.0,8603.0,9220.0,9737.0,9970.0,5562.421052631579,0.012454904655557463,0.7061302721763895,0.08950352173166122,0.47405943995877,0.5521208483393357,0.13636363636363635,0.6181818181818182,0.24545454545454545,-0.12685681393733952,0.5101210832794159,5.969333333333333,0.08924988898444906,3897.132972141493,5519,6123,4477,897,15,68,27,760.0,750,0.1419724558646825,0.13193609345473287,0.15366146458583432,1536,10106,8460,9996,11642,26,110
COMBINED,0.3442182156394544,0.6928629272159715,0.23849604048901088,0.3442182156394544,0.34173188447121294,0.33913373986803985,0.33563635218689264,0.32985857936996543,0.322835937662113,0.31579425328398836,0.30667260515742795,0.29612312651761735,0.28795391968735334,0.2787396340344193,0.266502104822322,0.24991171246325633,0.23180786372754658,0.21088810443937728,0.18572635081247707,0.14626383227198395,0.0912740495202226,0.027974816095886014,0.25837089905429245,0.6147410860526648,0.6047530802364018,0.5945703834573369,0.582207846719834,0.565547737711326,0.5453120478441208,0.5230546180539051,0.49890063622754494,0.46883810484333094,0.4393109024751808,0.4067967772386995,0.36989610500662706,0.32884723057462206,0.2845487711983322,0.2366313514348019,0.18831361495382562,0.13183319497677376,0.06810567547295608,0.014501701891870498,0.39298478244053436,0.19274159913212507,0.19310473097317027,0.19343663377262035,0.19349062631842764,0.1923916853143001,0.19112550888655258,0.19066079710420264,0.1885106570823234,0.18703451181271058,0.18874437077735673,0.19099409810725174,0.192008974718605,0.189923643015582,0.18884244503897457,0.1879454785867095,0.18317463341446275,0.1622740663658805,0.12232390410881638,0.05396541326210513,0.1780365146206409,0.7321728691476591,0.7247599039615846,0.7171068427370948,0.7076830732292917,0.6947478991596638,0.6786614645858343,0.6604741896758703,0.640126050420168,0.6138655462184874,0.5870048019207683,0.5561224489795918,0.519297719087635,0.4759303721488595,0.4260204081632653,0.36800720288115246,0.3047719087635054,0.22400960384153662,0.12262905162064826,0.027490996398559425,0.5147832817337461,0.7930821494749846,0.7850525015441631,0.776762784044732,0.7665550534768051,0.7525438054679627,0.7351191443711192,0.7154188745489418,0.693377978609278,0.6649328695426027,0.6358375865544033,0.6023861382919931,0.5624979682064952,0.5155229023763856,0.46146094080166444,0.3986216312863691,0.3301258086538149,0.24264490751275966,0.13283053216735477,0.029777965605799553,0.557607975923033,0.44669611660319586,0.4478005257801846,0.44833318686931223,0.44818809116544206,0.44665773616178117,0.4447029646427098,0.44310681461638596,0.44024742586812815,0.4370788649237463,0.4382211243059906,0.4386753398967949,0.4371046158156032,0.4297145794957828,0.4244267432663739,0.4162242760849459,0.39837847790702224,0.35038603367214044,0.26484669147936063,0.1143332737634082,0.4060590990693847,0.2498644606607762,0.25035891055483245,0.2509966121738407,0.2515115824806498,0.2509647044418933,0.25070213001757,0.2511768633158442,0.24997949679463383,0.24855271324399772,0.25122003561059764,0.25495435939184014,0.25783923699927086,0.258077604402923,0.2595719283966683,0.26007163621471846,0.2563575709462826,0.23456606260510296,0.18618788424823315,0.09538558663559138,0.2404389146913298,0.6928629272159715,0.6991921097564622,0.7053021398120424,0.7123529585542474,0.7214302047360825,0.7320163938804247,0.743212690908369,0.7548785771131777,0.7689562208437803,0.7824267675320674,0.796667082223434,0.812308623019894,0.8293381073861036,0.8473711935779462,0.8665828538061701,0.8854820031909969,0.9066408336227498,0.9324939339696887,0.9627945393147465,0.7974900084454922,0.37565964601042257,0.3741050203815,0.37244426927310276,0.37004059381922594,0.3656004912303827,0.36015207590774856,0.35486129046481496,0.3473767153685151,0.33884220922963204,0.332857104448474,0.3259081244462207,0.3157686219619153,0.30065001263973545,0.28363838864662333,0.2629929464241475,0.23627628459661623,0.1906592492389921,0.12247638283113717,0.03851704793510665,0.298359288150227,24396.0,24149.0,23894.0,23580.0,23149.0,22613.0,22007.0,21329.0,20454.0,19559.0,18530.0,17303.0,15858.0,14195.0,12262.0,10155.0,7464.0,4086.0,916.0,17152.57894736842,8924.0,9171.0,9426.0,9740.0,10171.0,10707.0,11313.0,11991.0,12866.0,13761.0,14790.0,16017.0,17462.0,19125.0,21058.0,23165.0,25856.0,29234.0,32404.0,16167.421052631578,6365.0,6612.0,6867.0,7181.0,7612.0,8148.0,8754.0,9432.0,10307.0,11202.0,12231.0,13458.0,14903.0,16566.0,18499.0,20606.0,23297.0,26675.0,29845.0,13608.421052631578,0.24387755102040817,0.7790652155461243,0.2807623049219688,0.6019807923169268,0.6520594258964273,0.23837209302325582,0.5406976744186046,0.22093023255813954,0.11087905442449464,0.6260201931929901,3.553452855245684,0.2806695812760238,15626.490093424161,20058,13262,10703,1229,82,186,76,1165.0,3012,0.2618872988873457,0.2518307322929172,0.2727804687753974,8391,24929,22370,30761,33320,90,344
